 NATS=         65391
 1.0  Generated by the LATTE library
   0.00000  87.13000   0.00000  87.13000   0.00000  87.13000
H   10.38100   7.87000  10.62100
H    9.93100   6.71000   9.57100
O    9.80100  15.73100  17.00100
H    9.60100  16.17100  16.12100
H   10.19100  14.82100  16.84100
O   18.59100  15.18100  16.05100
H   18.73100  15.45100  15.10100
H   19.42100  15.40100  16.58100
O    3.50000   8.98000  18.04100
H    4.26000   9.42000  18.52100
H    3.85000   8.51000  17.22100
O   15.40100   2.74000   1.25000
H   14.79100   1.99000   1.48000
H   15.62100   3.26000   2.08000
O   13.03100   8.38000   0.42000
H   13.37100   7.45000   0.57000
H   13.21100   8.65000  -0.53000
O   10.68100  13.33100   8.49000
H   10.75100  12.49100   7.94000
H   11.30100  14.02100   8.13000
O    3.19000   8.10000   9.49100
H    4.12000   8.46000   9.54100
H    3.13000   7.25000  10.01100
O    3.39000   5.09000  10.06100
H    2.87000   4.26000   9.89100
H    4.16000   5.14000   9.42100
O   11.38100   3.80000  16.78100
H   10.93100   4.43000  17.42100
H   12.31100   4.11000  16.61100
O   11.60100   2.07000  14.77100
H   11.60100   2.71000  15.54100
H   11.88100   2.55000  13.94100
O    0.88000  18.01100   9.27000
H    0.46000  17.15100   9.00000
H    1.82000  18.04100   8.93000
O    5.04000  15.68100   9.10000
H    5.70000  16.42100   9.19000
H    5.48000  14.89100   8.68000
O   10.02100   7.96000  12.38100
H   10.43100   7.64000  13.24100
H    9.06100   7.69000  12.35100
O    0.40000   5.44000  11.14100
H    1.25000   5.11000  10.73100
H    0.53000   5.59000  12.12100
O   13.69100   9.50100  16.60100
H   14.08100  10.39100  16.80100
H   13.79100   9.30100  15.63100
O    8.15000   5.72000   3.25000
H    8.22000   4.83000   2.79000
H    7.21000   6.06000   3.17000
O   16.57100   6.04000  12.06100
H   16.19100   5.35000  12.68100
H   17.39100   5.68000  11.62100
O    2.52000  15.64100  17.44100
H    2.22000  16.21100  18.20100
H    2.45000  14.67100  17.70100
O    6.71000   4.64000  12.69100
H    6.37000   3.75000  12.39100
H    6.97000   5.18000  11.89100
O    9.30000  16.78100  14.65100
H    9.06000  16.60100  13.70100
H    9.60000  17.72100  14.75100
O    4.73000   5.00000   1.91000
H    5.34000   5.80000   1.95000
H    3.78000   5.31000   1.98000
O   13.47100  10.59100  12.34100
H   13.71100   9.96100  11.60100
H   12.57100  10.99100  12.16100
O   13.02100   8.55000   3.09000
H   12.16100   8.24000   3.51000
H   12.98100   8.41000   2.10000
O   17.59100  17.47100  11.54100
H   18.20100  17.77100  10.81100
H   17.21100  16.58100  11.32100
O   12.52100  17.31100  11.28100
H   13.36100  17.36100  10.74100
H   12.29100  16.35100  11.46100
O    0.83000  12.58100  10.22100
H    0.78000  12.57100  11.22100
H    0.00000  12.17100   9.84100
O    6.88000  16.62100  17.16100
H    6.32000  17.43100  17.25100
H    7.40000  16.66100  16.30100
O    9.03000   0.86000   1.33000
H    9.54000   0.87000   0.47000
H    9.59000   0.44000   2.04000
O   17.26100   1.35000   5.23000
H   17.99100   1.18000   4.56000
